annotation_order,review_id,language,review_text
1,34677f7274f194fd,English,Very Worst App new shail app Compared with Old Shail App is Too Much Better Please Remove New Shail Old App is Better I am Faced To bad Experience
2,2fb80d1c18fe4e65,English,It was very bad experience this app very complicated and so. Slow
3,cf3056575665f207,Arabic,التطبيق يتوقف نهائيا عند طلب عرض البطاقة ..الحمد لله أني التقطت صورة البطاقة من الأمام و الخلف.
4,65ac3a0468e6da3c,English,This app is not working or downloading in my mobile also im facing issues with my renew id not excepted any where online
5,3a3e54149b6fa045,Arabic,التطبيق ممتاز.. ولكن للأسف الزين ما يكمل نواجه مشكله كبيرة عند طلب تسجيل مولود جديد .... الرجاء تدارك المشكلة والعمل على تصليحها... حذفت التطبيق وحملته عشر مرات ولا فائدة
6,c4a9a2f017730a4f,Arabic,التطبيق لا يعمل. بعد التحديثات التطبيق لا يعمل مطلقاً !!!
7,3ecde8396ef01414,English,amazing and useful card and helpful
8,ec1c045f5130009c,Arabic,موقع لا يلبي طموح لا توجد خيارات مثل عدم توصيل متعب في الدخول
9,1316f2e0a4165a0b,English,"lead you no where. checked MIO, I found the fines in my car."
10,65681acd3dfb06cd,Arabic,رائع جدا ولكن يحتاج الى تحديث بان يتصل مباشرة مع تحديد الموقع مع الوتساب مثل برنامج هير درايفر
11,cb1441390f23c021,Arabic,عند التسجيل كمستخدم جديد يطلب رقم الهويه .بعدها ارسال رساله علي رقم ليس معي ولا يوجد امكانيه اضافه رقم جديد لاستقبال كود التفعيل .... ما الحل
12,a9b4e358aa4f9396,English,i need ti take lost passport
13,464d887c81ae9863,Arabic,البرنامج بالمره ما يشتغل اتمنى تعدلون البرنامج .. مشكلته في اﻻغﻻق المفاجأة والتعليق بشكل كبير
14,c22b056764f01dad,Arabic,يسوى دخول مره واحده وبعدين ما يشتغل
15,fb638d7a69a60e90,Arabic,من افضل البرامج. جزاكم الله خيرا من افضل البرامج و دقيق في مواقيت الصلاة
16,c3fbc91a557be9f8,Arabic,جدا الموقع تعبان وتعيس لايمكن التعرف على كلمة السر بسهوله وهناك خلل في الموقع
17,c58d4ea7d6bd7121,English,"I can't use this app in android & ios. When I login massage appears that there are an issue , many updates come and the same problem 👎"
18,223eaeb7445e9621,English,"Hi Guys, please do install and use this app for theory test and signal test knowledge."
19,c9c58b31b986e593,English,Not supporting. On iPhone 6 not working 😔
20,c94241a41cdc7fe9,English,This app is impressive I just updated my contact details and address!!! Super
21,03d7a2b8cf37673e,Arabic,فيه خلل عند كتابة الرقم السري المرسل بالرسائل
22,44a470ecfb00a46b,Arabic,Bad. سئ جداً لو تمسحون التطبيق جدا احسن لنه التطبيق غير فعال
23,08312a64f7ea0c94,English,It's a very good app but sometimes it gets hung.
