length_band,n,macro_f1,recall_Dissatisfied,recall_Satisfied,accuracy_secondary,model
6-10,2582,0.9177003681412373,0.9096153846153846,0.9280155642023347,0.9206041828040279,TF-IDF + logistic regression
11-25,2982,0.8966737762851635,0.9323220536756126,0.8556782334384858,0.8997317236753857,TF-IDF + logistic regression
26+,1776,0.8801113573946882,0.9509433962264151,0.7937915742793792,0.911036036036036,TF-IDF + logistic regression
6-10,2582,0.9213014729420145,0.9298076923076923,0.9195849546044098,0.923702556158017,TF-IDF + linear SVM
11-25,2982,0.8987845930665079,0.941656942823804,0.8485804416403786,0.9020791415157612,TF-IDF + linear SVM
26+,1776,0.8816743761064474,0.9584905660377359,0.7804878048780488,0.9132882882882883,TF-IDF + linear SVM
6-10,2582,0.9086862044299784,0.9365384615384615,0.893644617380026,0.9109217660728117,TF-IDF + multinomial naive Bayes
11-25,2982,0.8756278905286705,0.9463243873978997,0.7925867507886435,0.8809523809523809,TF-IDF + multinomial naive Bayes
26+,1776,0.8450932231774031,0.9449056603773585,0.7184035476718403,0.8873873873873874,TF-IDF + multinomial naive Bayes
6-10,2582,0.9319031981015926,0.9336538461538462,0.9345006485084306,0.9341595662277304,XLM-RoBERTa (base)
11-25,2982,0.9179608559659509,0.9544924154025671,0.8746056782334385,0.920523138832998,XLM-RoBERTa (base)
26+,1776,0.9115440785419427,0.96,0.8558758314855875,0.9335585585585585,XLM-RoBERTa (base)
6-10,2582,0.9241713691814687,0.9365384615384615,0.9195849546044098,0.9264136328427576,Multilingual BERT
11-25,2982,0.9113493594888922,0.9591598599766628,0.8541009463722398,0.9144869215291751,Multilingual BERT
26+,1776,0.8920854443379433,0.9577358490566038,0.8093126385809313,0.920045045045045,Multilingual BERT
6-10,765,0.9019465302023052,0.9105691056910569,0.9132947976878613,0.9124183006535947,AraBERT
11-25,740,0.9052697799625469,0.9469026548672567,0.8703241895261845,0.9054054054054054,AraBERT
26+,276,0.9026070264090222,0.9418604651162791,0.8557692307692307,0.9094202898550725,AraBERT
6-10,765,0.9056967194169222,0.9024390243902439,0.9229287090558767,0.9163398692810457,MARBERT
11-25,740,0.9147151959519902,0.9528023598820059,0.8827930174563591,0.9148648648648648,MARBERT
26+,276,0.9107612286497504,0.9418604651162791,0.875,0.9166666666666666,MARBERT
