app_name,n,macro_f1,recall_Dissatisfied,recall_Satisfied,accuracy_secondary
AWQAF UAE,166,0.7496229260935143,0.8518518518518519,0.6379310344827587,0.7771084337349398
RTA Smart Drive,790,0.8506374243733794,0.7307692307692307,0.9705056179775281,0.9468354430379747
Esaad Card,144,0.8511627906976744,0.9920634920634921,0.6111111111111112,0.9444444444444444
nol Pay,151,0.8513779527559056,0.9603174603174603,0.72,0.9205298013245033
SEHA,110,0.8537234042553192,0.9574468085106383,0.75,0.9272727272727272
UAE PASS,666,0.8557879693387034,0.9548022598870056,0.7333333333333333,0.9099099099099099
MOHRE,400,0.8654813799579947,0.9473684210526315,0.7801047120418848,0.8675
Darbi (ITC),100,0.8901098901098901,0.9375,0.8333333333333334,0.9
Smart Salik,137,0.8915853336850434,0.9469026548672567,0.875,0.9343065693430657
Dubai Police,312,0.8987012987012988,0.8676470588235294,0.9467213114754098,0.9294871794871795
MOI UAE,349,0.9105434039644567,0.9398496240601504,0.8981481481481481,0.9140401146131805
DubaiNow,185,0.9238235294117647,0.9587628865979382,0.8863636363636364,0.9243243243243243
S'hail,229,0.9264941901521474,0.9811320754716981,0.9411764705882353,0.9781659388646288
UAEICP,494,0.931037314413349,0.9563492063492064,0.9049586776859504,0.9311740890688259
DEWA,134,0.9337944664031621,0.9767441860465116,0.875,0.9402985074626866
Etihad WE (FEWA),108,0.9361324659964518,0.9775280898876404,0.8947368421052632,0.9629629629629629
RTA Dubai,821,0.9438800984319833,0.9440203562340967,0.9439252336448598,0.9439707673568819
TAMM,208,0.9442698818657898,0.9838709677419355,0.8928571428571429,0.9471153846153846
Dubai Health (DAHC),197,0.9479496935108856,0.9732142857142857,0.9176470588235294,0.949238578680203
Parkin,102,0.9527777777777777,0.9888888888888889,0.9166666666666666,0.9803921568627451
EMX Express,106,0.9672671127123005,0.9861111111111112,0.9411764705882353,0.9716981132075472
TAQA Distribution AD,100,0.9773857982813207,0.9850746268656716,0.9696969696969697,0.98
