segment_type,segment,n,aspect,segment_rank,overall_rank,rank_shift,risk_ratio,p_adj,n_mentions
language,Arabic,11869,login,1,2,1,7.009063879628796,1.950810757092475e-54,340
language,Arabic,11869,registration,2,3,1,6.568041472897767,6.125988172044233e-94,609
language,Arabic,11869,performance,3,1,-2,5.757969103754285,3.162335581997928e-80,573
language,Arabic,11869,verification,4,4,0,3.6977642773480235,3.2743905341185643e-52,575
language,Arabic,11869,payment,5,7,2,3.1597351833498513,9.598718092455896e-62,834
language,Arabic,11869,notifications,6,5,-1,2.9088738983556595,3.303556102596854e-19,293
language,Arabic,11869,update,7,6,-1,2.8408630806036164,2.6336371453709297e-77,1206
language,Arabic,11869,support,8,9,1,2.2971978450924917,3.443282321334083e-20,483
language,Arabic,11869,language,9,8,-1,0.908191986408042,0.3990027427101299,351
language,Arabic,11869,usability,10,10,0,0.37533611112552473,8.789073632613926e-54,1220
language,English,37061,performance,1,1,0,7.063751150633066,0.0,5376
language,English,37061,login,2,2,0,5.670235834229831,0.0,4323
language,English,37061,registration,3,3,0,4.25995322424671,1.817827415327813e-132,1941
language,English,37061,verification,4,4,0,2.9323942844240882,2.208228903062288e-67,1499
language,English,37061,notifications,5,5,0,2.493607413421213,1.4381678230772485e-23,663
language,English,37061,update,6,6,0,2.276434547058904,3.6406962977955185e-160,5006
language,English,37061,payment,7,7,0,1.9225905166083206,9.165370290640661e-103,4764
language,English,37061,language,8,8,0,1.4331077088627664,0.0044420891381525855,294
language,English,37061,support,9,9,0,0.5721296257878932,2.2726247990133785e-84,4237
language,English,37061,usability,10,10,0,0.3369827035969224,0.0,4993
platform,Google Play,39721,performance,1,1,0,7.3107018074050965,0.0,4603
platform,Google Play,39721,login,2,2,0,6.477411055126973,0.0,3794
platform,Google Play,39721,registration,3,3,0,4.926944179063737,4.514375891706372e-189,2094
platform,Google Play,39721,verification,4,4,0,3.1535297300995877,3.8942534756213787e-100,1768
platform,Google Play,39721,notifications,5,5,0,2.7021907436805472,1.4431368264242333e-32,719
platform,Google Play,39721,payment,6,7,1,2.3889409531140866,5.6947171954281943e-157,4113
