segment_type,segment,n,aspect,segment_rank,overall_rank,rank_shift,risk_ratio,p_adj,n_mentions
entity,TAQA Distribution AD,606,performance,9,1,-8,,3.786418102155445e-09,71
entity,Esaad Card,978,usability,3,10,7,1.1389521640091116,1.0,33
entity,S'hail,1404,payment,1,7,6,6.127033307513556,0.09863304775817137,71
entity,S'hail,1404,usability,5,10,5,0.5380462022144256,0.0009993769705491813,243
entity,TAQA Distribution AD,606,support,5,9,4,1.1078239608801956,0.9306448996364894,33
entity,Darbi (ITC),694,usability,6,10,4,1.314309009376274,0.5221816171813396,74
entity,Parkin,707,payment,3,7,4,2.029797163884401,0.0007906844979971185,275
entity,SEHA,781,payment,3,7,4,3.380248833592535,0.04651207762510282,67
entity,DubaiNow,1149,performance,5,1,-4,3.3331496279966935,8.311025497617134e-13,164
entity,AWQAF UAE,1022,usability,6,10,4,0.989010989010989,1.0,87
entity,TAQA Distribution AD,606,usability,7,10,3,0.16883018677690118,6.701206651182755e-29,131
entity,EMX Express,740,support,6,9,3,2.3022407503908284,0.000726506881614719,113
entity,Smart Salik,964,support,6,9,3,1.0736842105263158,1.0,55
entity,SEHA,781,registration,6,3,-3,2.1032659409020216,0.04915705931144598,108
entity,SEHA,781,login,5,2,-3,2.173017107309487,0.06577686848521776,89
entity,DEWA,800,usability,7,10,3,0.38185459026494145,2.328037021817399e-10,151
entity,DEWA,800,support,6,9,3,1.0173290203327172,1.0,75
entity,RTA Dubai,5352,verification,7,4,-3,2.7817732446827024,2.5718226929415282e-05,79
entity,RTA Smart Drive,5121,notifications,2,5,3,3.905906593406593,0.00026133980072512523,39
entity,AWQAF UAE,1022,notifications,2,5,3,1.979916635089049,0.0022213615661188855,124
entity,DubaiNow,1149,verification,1,4,3,8.37696335078534,8.47347528374841e-09,56
entity,TAMM,1204,payment,4,7,3,4.041666666666667,3.5427058263384953e-09,115
entity,S'hail,1404,support,6,9,3,0.27717531629227987,1.889139787055955e-08,100
entity,S'hail,1404,update,3,6,3,2.971124881659351,2.336892167416759e-09,629
entity,MOHRE,2739,verification,7,4,-3,1.7086910083468492,0.013987962920454563,103
entity,MOHRE,2739,language,5,8,3,2.245236494059628,0.05512689553256192,33
entity,UAEICP,3280,verification,7,4,-3,1.3333691888458623,0.019289190890857465,279
entity,UAE PASS,4819,login,5,2,-3,1.5469855892475974,8.045993761295745e-10,1250
entity,AWQAF UAE,1022,update,3,6,3,1.934065934065934,1.6980345561045972e-15,462
