segment_type,segment,n,aspect,overall_rank,risk_ratio
language,Arabic,11869,login,2,7.009063879628796
language,English,37061,performance,1,7.063751150633066
platform,Google Play,39721,performance,1,7.3107018074050965
platform,App Store,9209,performance,1,7.8003739203707605
entity,RTA Dubai,5352,login,2,12.872324526287699
entity,RTA Smart Drive,5121,performance,1,5.799679487179487
entity,UAE PASS,4819,performance,1,3.7870431536417124
entity,UAEICP,3280,registration,3,10.48309424780013
entity,MOHRE,2739,login,2,5.455223044160502
entity,MOI UAE,2531,performance,1,6.567947770386795
entity,Dubai Police,2202,performance,1,13.249277038750721
entity,S'hail,1404,payment,7,6.127033307513556
entity,TAMM,1204,registration,3,16.5
entity,DubaiNow,1149,verification,4,8.37696335078534
entity,Dubai Health (DAHC),1133,login,2,7.858646616541353
entity,nol Pay,1073,login,2,9.12
entity,AWQAF UAE,1022,performance,1,2.931318681318681
entity,Esaad Card,978,performance,1,3.451025056947608
entity,Smart Salik,964,performance,1,6.800000000000001
entity,DEWA,800,login,2,9.957855822550831
entity,SEHA,781,performance,1,5.580093312597201
entity,EMX Express,740,registration,3,11.633663366336634
entity,SEWA,730,registration,3,6.575916230366492
entity,Parkin,707,performance,1,6.966074313408725
entity,Etihad WE (FEWA),696,registration,3,6.206148282097649
entity,Darbi (ITC),694,login,2,3.89237668161435
entity,TAQA Distribution AD,606,registration,3,13.486552567237164
entity,Emirates Red Crescent,538,performance,1,9.450000000000001
