rank,aspect,n_mentions,pct_dissatisfied_mentioning,pct_satisfied_mentioning,risk_ratio,rr_ci_low,rr_ci_high,chi2,p,p_adj,significant,aspect_display
1,performance,5949,19.757263699889666,2.6540938362465503,7.44407127964647,6.844352252876783,8.096339166816845,3307.245849959937,0.0,0.0,True,Performance / stability
2,login,4663,15.259286502390584,2.364305427782889,6.454025069299052,5.899130043478872,7.061115670977126,2328.4185203998013,0.0,0.0,True,Login / authentication
3,registration,2550,8.021331371827877,1.6973321067157314,4.725846721505096,4.2383310259890585,5.269439101904194,976.7603348532483,2.022044804239765e-214,4.04408960847953e-214,True,Registration
4,verification,2074,6.031629275468922,1.996320147194112,3.021373743057474,2.722153427427681,3.3534844888825246,483.65122629017645,3.4296609468928187e-107,4.899515638418313e-107,True,Verification
5,notifications,956,2.6553880102979037,1.076356945722171,2.46701433093489,2.131132097375326,2.855834097066886,156.4162353767155,6.866124946628087e-36,8.582656183285109e-36,True,Notifications
6,update,6212,17.212210371460095,7.046918123275068,2.442516014853411,2.3121116731527978,2.5802752315506896,1125.3500194087637,1.021549380495037e-246,2.5538734512375923e-246,True,Updates
7,payment,5598,15.123207061419638,6.835326586936523,2.212506874261527,2.0907961211955253,2.341302731064675,818.1923728176154,5.980904085465284e-180,9.968173475775473e-180,True,Payment
8,language,645,1.2541375505700625,1.3983440662373505,0.896873366756354,0.7691931415983424,1.0457475405012255,1.8219983712706882,0.17707558918043254,0.17707558918043254,False,Language
9,support,4720,8.275101140125047,11.361545538178474,0.7283429100660668,0.689872633427262,0.7689584554297864,131.68394666650732,1.754406903323641e-30,1.9493410036929343e-30,True,Customer support
10,usability,6213,7.098197866862817,19.70101195952162,0.3602961046593454,0.34248806808251886,0.37903008930933274,1729.7830186418341,0.0,0.0,True,Usability
